,mem,page,total
1,697220,607924,1654352
2,1537268,1166380,3058328
3,2023484,1643944,4023188
4,2040652,2289984,4676272
5,2030424,2617872,5006220
6,2037304,3203680,5583616
7,2031764,3591556,5978600
8,2036520,4015756,6411564
9,2041008,4322160,6708668
10,2048548,4829536,7224376
11,2047616,5181084,7574772
13,2054312,5723424,8123720
14,2047184,5981508,8381004
15,2052716,6498264,8895664
16,2052848,6789600,9192476
17,2053384,7055296,9463420
18,2059264,7612064,10026260
19,2062428,7878500,10285948
20,2064260,7707952,10123120
21,2060840,7979876,10390404
22,2072456,8456240,10885352
23,2070980,8720128,11145144
24,2068180,9032552,11454372
25,2065364,8121988,10536068
26,2063932,8135616,10546112
27,2062156,8395512,10814204
28,2069548,8839232,11266828
29,2066520,9089316,11501888
30,2067688,9468480,11884524
32,2068404,9933108,12357668
33,2071568,10315220,12740980
34,2078656,10392548,12789432
35,2068300,9527032,11941092
36,2073296,9736368,12151888
37,2072068,9959984,12345432
38,2068352,9785444,12196736
39,2065712,10133704,12542936
40,2071648,10640972,13054552
41,2064756,10554232,12868800
42,2066092,10684540,13094456
43,2067148,10952600,13359740
44,2073088,11323456,13737888
45,2077280,11671644,14091832
46,2075464,12022280,14455996
48,2081448,12504104,14927204
49,2073792,12732760,15165200
50,2074148,12197320,14625528
51,2073620,12539832,14961616
52,2073848,12922824,15344104
53,2077672,13322236,15743320
54,2079256,13743120,16168948
55,2078696,13730564,16154692
56,2077640,13737416,16162268
57,2082128,13738156,16168036
58,2090312,13714444,16157412
59,2088088,13730508,16151188
60,2088768,13023884,15276336
61,2084456,12593940,15023684
62,2080196,12879832,15305660
63,2078420,12443608,14869172
65,2073936,12593776,14977608
66,2073016,12263892,14616056
67,2075056,12187872,14612548
68,2069128,12492380,14925640
69,2074008,13010676,15433236
70,2072572,13112136,15538432
71,2070652,12982700,15402304
72,2071044,13383624,15816848
73,2075652,13188452,15625056
74,2078384,13455364,15891696
75,2073116,13730264,16156720
76,2080244,13740964,16167472
77,2077204,13729024,16152548
78,2074696,13667844,16088776
79,2074536,13708604,16132336
80,2075176,13288340,15732992
81,2077676,13717612,16150848
83,2080308,13736304,16160116
84,2076368,13545916,15969828
85,2078324,13647592,16080728
86,2074956,13754660,16157288
87,2080440,13739476,16152028
88,2076988,13736316,16164368
89,2074172,13669244,16095784
90,2081828,13727996,16153224
91,2068912,13186976,15613980
92,2074724,13734456,16153324
93,2071792,13608968,16033264
94,2075492,13753528,16160136
95,2076936,13751020,16154192
96,2073476,13739956,16155788
97,2079812,13746532,16169956
99,2078988,13741140,16164724
100,2075360,13008644,15405028
101,2076708,13137392,15572516
102,2078652,13525068,15957820
103,2080892,13750612,16166920
104,2082444,13743948,16165852
105,2088240,13734836,16168204
106,2085040,13722316,16158864
107,2079944,12424168,14847596
108,2080576,12485852,14912172
109,2079468,12843172,15266756
110,2077884,13031544,15464644
111,2078792,13149996,15586484
112,2082088,13683192,16114824
113,2081932,13706572,16141864
115,2081668,13737936,16167272
116,2075184,12775672,15168212
117,2079888,13211088,15637452
118,2076920,13480144,15907000
119,2078980,13229732,15653072
120,2080040,13674836,16106948
121,2079464,13726980,16152896
122,2085008,13734364,16165404
123,2073432,13281340,15673512
124,2079184,13609056,16040668
125,2077972,13750748,16154848
126,2079552,13642520,16068356
127,2081132,13738764,16160692
128,2080468,13746176,16169816
130,2086012,13731044,16162904
131,2083636,13739920,16169388
132,2089444,13717596,16153696
133,2080396,12813860,15241232
134,2081316,13234100,15660936
135,2085772,13680060,16109924
136,2084188,13724588,16151260
137,2080724,13737860,16166420
138,2081780,13072404,15500932
139,2080848,13320040,15699884
140,2082460,12986396,15418016
141,2077928,13373092,15812576
142,2076448,13153836,15588072
143,2072488,13532744,15962624
144,2083576,13743308,16170172
145,2081856,13733284,16159084
146,2079712,13742788,16167556
148,2076032,13165588,15592328
149,2075856,13562648,15988504
150,2081264,13735136,16160056
151,2076248,13741888,16152168
152,2081264,13736156,16163932
153,2080772,13609752,16046576
154,2082104,13681196,16043964
155,2081072,13248672,15677276
156,2076288,13556176,15981392
157,2082224,13741684,16169392
158,2080240,13735976,16145648
159,2085784,13741176,16168868
160,2083672,13740504,16170096
161,2087972,13731600,16169076
162,2091636,13720660,16156652
163,2093936,13577732,16018396
164,2084140,12653824,15084024
166,2076052,12931552,15358112
167,2083708,13416136,15845764
168,2077900,13714396,16147464
169,2088724,13725556,16159448
170,2088988,13726696,16167020
171,2096228,13720592,16162884
172,2091952,13715084,16131196
173,2091392,13731588,16151304
174,2097464,13710316,16154228
175,2096440,13714316,16170448
176,2102776,13692436,16143620
177,2103136,13722464,16169740
178,2089760,11417240,13852996
179,2082552,11683616,14119628
180,2089948,11950736,14387800
181,2087900,12249592,14684140
183,2085176,12198684,14633016
184,2085936,12623080,15064740
185,2083976,12161172,14591700
186,2082020,12614496,15052200
187,2083844,13105388,15546112
188,2082040,13438628,15872084
189,2087040,13728212,16168184
190,2089868,13725472,16163556
191,2095448,13725208,16165748
192,2103400,13710876,16159520
193,2099824,13223072,15644616
194,2093012,12928220,15374972
195,2096584,13433356,15878068
196,2095256,13710092,16162516
197,2098680,13725980,16168992
198,2098676,13721992,16150588
200,2106696,13708688,16157092
