,mem,page,total
1,165792,404788,933092
2,193236,1636716,2132392
3,191136,1861420,2352632
4,178216,2047100,2532740
5,187740,2984968,3534724
7,189068,3441036,3935908
8,185380,3781804,4266384
9,185916,4462372,5022424
10,197012,5069388,5568048
11,195928,5382472,5878588
12,185124,5665724,6222548
14,198548,6617532,7115976
15,196076,6885404,7381052
16,197136,7267272,7760812
17,204524,8097352,8600876
18,202364,8417040,8920748
19,197348,8690776,9186524
20,205536,9051636,9556024
21,225476,9911268,10437604
22,226520,10179348,10711516
23,218164,10469856,11053596
24,226660,10811440,11337832
25,245932,11251100,11796096
26,242484,11417804,11961296
27,244860,11883460,12427060
29,247236,12144248,12691948
30,235192,11126452,11660576
31,236512,11490512,12027836
32,237568,11734532,12273008
33,238888,12052724,12589816
34,214340,10017124,10530368
35,216452,10311376,10827484
36,223844,10157684,10644468
37,191964,6691988,7185112
38,196716,6731344,7229016
39,201732,6771756,7274676
40,206748,6809244,7317808
41,211764,6847344,7360404
42,217044,6886528,7403960
43,222060,6923884,7447076
44,227340,6960584,7488428
45,232356,6996524,7529528
46,237900,7033788,7572628
47,244760,7029308,7576424
48,244760,7061844,7608444
49,244760,7093544,7640024
50,244760,7126480,7672492
51,244760,7157724,7704576
52,244760,7188428,7735508
53,244760,7219832,7766204
54,244760,7250296,7796900
55,244760,7280660,7827196
56,244760,7310940,7857948
57,244760,7340864,7887992
58,244760,7371020,7917404
59,244760,7401560,7948724
60,250036,7393012,7944008
61,252412,7525712,8080520
62,252940,7631648,8187384
63,253204,7767504,8321660
64,253204,7887240,8442148
66,253204,7982416,8536940
67,255500,7613808,8171756
68,255764,7575656,8132136
69,255764,7606704,8163856
70,255764,7636108,8194176
71,255764,7665692,8222888
72,255764,7695296,8252152
73,255764,7725016,8281580
74,255764,7754068,8310568
75,247360,7742896,8291596
76,247360,7768864,8317096
77,247360,7794888,8343224
78,247360,7819884,8368188
79,247360,7845600,8393972
80,247360,7871468,8420116
81,247360,7897064,8446104
82,247360,7922908,8471028
83,247360,7947752,8496260
84,247360,7970620,8518672
85,248412,7992968,8542872
86,253692,8015912,8570048
87,260816,7999968,8561908
88,260816,8019652,8582208
89,260816,8040228,8602028
90,260816,8059908,8621748
91,260816,8081952,8644436
92,260816,8103756,8666328
93,260816,8123880,8685692
94,260816,8143368,8705884
95,260816,8164528,8726800
96,260816,8185144,8748260
97,260816,8206108,8769672
98,260816,8225168,8786996
99,260816,8243392,8805124
100,260816,8262092,8824000
101,260816,8241428,8803840
102,260816,8258628,8820764
103,260816,8277288,8839680
104,260816,8295176,8857856
105,260816,8311732,8874440
106,260816,8328036,8890868
107,260816,8345992,8908508
108,260816,8362336,8925384
110,260816,8380120,8943284
111,260816,8396560,8959712
112,260816,8414040,8976872
113,260816,8430480,8993544
114,260816,8446608,9009648
115,260816,8462952,9025752
116,260816,8480552,9043644
117,261344,8514160,9078232
118,261608,8609252,9171472
119,261608,8734128,9295896
120,261608,8492316,9057032
121,265304,8614876,9183100
