,mem,page,total
1,165256,406276,960992
2,192172,1606372,2129848
3,186136,1866028,2368580
4,174548,2045580,2549036
5,192496,3174492,3762148
7,189340,3512868,4016748
8,180908,3711584,4208252
9,189052,4641112,5187428
10,196980,5117348,5628948
11,191940,5377480,5883456
12,190104,5954000,6508336
13,201444,6670600,7186212
14,193488,6846072,7353508
15,195864,7363704,7873248
17,201672,8176172,8714068
18,199604,8447428,8965408
19,206468,8896280,9418876
20,214656,9326452,9905884
21,217020,9757288,10370156
22,229428,10302620,10846132
23,235500,10465092,11014024
24,235764,10864076,11416640
25,237612,11182560,11735684
26,238140,11525712,12079724
27,233080,10566268,11115804
28,234400,10788800,11338536
29,235720,10931652,11482168
30,181760,5844440,6340020
32,184136,5886276,6384892
33,186248,5924568,6426828
34,188888,5962360,6466832
35,191528,5998340,6505332
36,194168,6034412,6544172
37,197336,6070348,6583264
38,200504,6106604,6621796
39,203936,6140164,6659208
40,207368,6173872,6697048
41,210800,6205828,6732288
42,214496,6237232,6767836
43,218456,6268016,6801768
44,222152,6297772,6835048
45,226376,6327740,6868776
46,230600,6357048,6903388
47,235124,6385532,6936708
48,239612,6412788,6969184
49,244360,6399308,6958660
50,244360,6421100,6981396
51,244360,6442752,7002776
52,244360,6463668,7023488
53,244360,6483512,7043956
54,244360,6505172,7065368
55,244360,6525412,7085828
56,244360,6544132,7105688
57,244360,6561936,7122264
58,244360,6579432,7140172
59,244360,6596768,7155788
60,244360,6613068,7172088
61,244360,6630828,7190216
62,244360,6646032,7205580
63,250692,6666664,7233892
64,252540,6767576,7336148
65,253068,6878428,7446808
66,253332,6985424,7554744
67,253332,7117320,7685728
68,253440,6755272,7322860
69,256872,6869036,7440876
70,256872,6968772,7541660
71,258456,7127356,7702208
72,260304,7226656,7803504
73,260304,7386440,7962036
75,260072,7257032,7831972
76,261920,7362140,7940056
77,264728,7139208,7721560
78,264992,7245388,7826572
79,264992,7350280,7931216
80,264992,6940452,7522200
81,264992,6952436,7534248
82,264992,6963880,7546156
83,264992,6975600,7556960
84,264992,6987140,7568924
85,264992,6998432,7580232
86,267628,6971556,7555584
87,267628,6981112,7565704
88,267628,6990076,7574184
89,267628,6998856,7583044
90,267628,7007716,7592164
91,267628,7016540,7599928
92,267628,7024788,7608788
93,267628,7033516,7617136
94,267628,7041416,7624956
95,267628,7012076,7595960
96,267628,7019372,7602528
97,267628,7026472,7610096
98,267628,7033280,7616908
99,267628,7040024,7624248
100,267628,7046672,7630272
101,267628,7053800,7637548
102,267628,7060724,7645336
103,267628,7067128,7651156
104,267628,7073684,7658392
105,267628,7048412,7633532
106,256940,7163664,7736656
107,256940,7255360,7829524
108,256940,7138432,7692756
109,260372,7174452,7751900
110,261164,7123652,7702052
111,262484,7216260,7795040
112,262484,7326900,7905456
113,265648,7427008,8008980
114,271688,7044416,7633132
115,271688,7053872,7643188
117,271952,7063292,7651424
118,271952,7072368,7660992
119,271952,7081188,7670624
120,271952,7090356,7679208
121,271952,7099580,7687736
122,260868,7070864,7650252
123,260868,7078612,7656992
124,260868,7086008,7664536
125,260868,7093680,7672356
126,260868,7101156,7679672
127,260868,7108816,7686948
128,260868,7116068,7694044
129,262448,7123648,7702684
130,269840,7137000,7723544
131,271688,7100452,7689564
132,271688,7106960,7695312
133,271952,7113228,7702172
134,271952,7119708,7707440
135,271952,7126156,7714528
136,271952,7132324,7720472
137,271952,7138884,7727544
138,271952,7145224,7733820
139,271952,7151316,7739664
140,271952,7183752,7772252
141,261132,7230404,7808592
142,261132,7329824,7906848
143,261132,7387356,7937724
144,263508,7243804,7823872
145,263508,7348628,7929388
146,261660,7133196,7711872
147,263240,7143708,7723512
148,273536,7116512,7708424
149,273536,7125488,7716228
150,273800,7133636,7724520
151,273800,7141976,7732852
152,273800,7150356,7741144
153,273800,7158820,7749688
154,273800,7166992,7758264
155,273800,7175340,7766264
156,261812,7145764,7725732
157,261812,7152952,7731456
158,261812,7160076,7739284
159,261812,7167112,7746088
161,261812,7174248,7753428
162,261812,7181152,7759208
163,261812,7187872,7766760
164,262868,7194944,7774540
165,269996,7201608,7787384
166,272636,7171252,7760680
167,272636,7177160,7766916
168,272900,7183412,7771908
169,272900,7189268,7778784
170,272900,7195284,7784320
171,272900,7201472,7791172
172,272900,7207284,7796424
173,272900,7213492,7802620
174,272900,7219460,7808660
175,272900,7225272,7814708
176,261964,7229240,7807100
177,263548,7331312,7910688
178,263548,7442580,8021836
179,263548,7536112,8115508
180,268036,7320464,7903828
181,268036,7421652,8005400
182,269884,7294004,7879440
183,272788,7408508,7997352
184,281764,7475940,8073448
185,280348,7177500,7774164
186,280612,7186572,7783892
187,280612,7195228,7792704
188,280612,7204148,7800948
189,280612,7212936,7809808
190,280612,7221408,7817888
191,268452,7193492,7778100
192,268452,7200912,7785656
193,268452,7208036,7792924
194,268452,7215580,7801116
195,268452,7222716,7807652
196,268452,7230220,7814936
197,268452,7237528,7822144
198,268452,7244556,7829844
199,275844,7251984,7843884
200,279276,7221636,7816448
201,279276,7227912,7823228
202,279540,7234212,7829244
203,279540,7260988,7856904
204,279540,7267304,7863692
206,279540,7273304,7870520
207,279540,7279628,7876568
208,279540,7285604,7882136
209,279540,7291932,7888460
210,279540,7298084,7894776
211,268408,7320004,7906124
