,mem,page,total
8881,1508764,13910724,15985364
8882,1513516,13931816,16011068
8883,1518004,13951964,16036104
8884,1519588,13933080,16020300
8885,1519588,13950872,16037948
8886,1519588,13969616,16057384
8887,1519588,13988768,16076316
8888,1519588,14006028,16093200
8889,1519852,14024648,16112288
8890,1519852,14042208,16129060
8891,1519852,14060688,16148704
8892,1519852,14080324,16167040
8893,1519344,14074772,16161428
8894,1518900,14069028,16155868
8895,1518800,14080152,16167092
8896,1518444,14073828,16159764
8897,1518168,14072860,16158860
8898,1517788,14067328,16153496
8900,1517788,14083444,16167912
8901,1499076,14014192,16081368
8902,1499076,14031524,16097860
8903,1499076,14047888,16113256
8904,1499076,14063968,16130424
8905,1499076,14078584,16145072
8906,1499076,14093568,16159828
8907,1498836,14086816,16153524
8908,1498836,14101760,16167784
8909,1498708,14094528,16160992
8910,1498708,14088628,16154744
8911,1498708,14083632,16149308
8912,1498708,14099940,16165740
8913,1500288,14091812,16158672
8914,1503984,14082720,16151872
8915,1507612,14077060,16150032
8916,1511308,14093172,16169360
8917,1514520,14084300,16163604
8918,1517024,14072328,16154500
8919,1517544,14024252,16108796
8920,1517544,14039904,16122908
8921,1517544,14053564,16136708
8922,1517544,14067560,16151016
8923,1517544,14082184,16165144
8924,1517164,14072148,16153800
8925,1517348,14074288,16155720
8926,1517348,14088540,16169828
8927,1516992,14079076,16160584
8928,1516716,14069596,16151156
8929,1516716,14084040,16165988
8930,1516396,14074340,16155744
8931,1516396,14088396,16169640
8932,1516008,14073224,16153888
8933,1515728,14066196,16146516
8934,1515728,14079408,16160804
8935,1515624,14071332,16150912
8936,1515624,14086640,16166180
8937,1515492,14078276,16158160
8938,1494840,14026740,16086648
8939,1494496,14099092,16155536
8940,1491584,13960812,16017728
8941,1491584,14082140,16137560
8943,1490956,14095336,16150796
8944,1490956,13980716,16037140
8945,1490956,14092084,16145904
8946,1490768,14090980,16146068
8947,1490768,14114248,16168884
8948,1490776,13793460,15847576
8949,1490776,13888856,15943320
8950,1490776,13736028,15789788
8951,1490776,13756700,15810724
8952,1490776,13778096,15832224
8953,1493416,13799772,15856580
8954,1497376,13819620,15881072
8955,1501336,13839192,15903532
8956,1505296,13857192,15925440
8957,1509256,13877460,15949688
8958,1511104,13858436,15935092
8959,1511104,13875740,15951268
8960,1511104,13894796,15970308
8961,1511104,13912068,15987680
8962,1511104,13928876,16004352
8963,1511368,13947548,16023552
8964,1511368,13965752,16041388
8965,1511368,13984624,16059272
8966,1511368,14002972,16077944
8967,1511368,14021200,16096844
8968,1511368,14039660,16114940
8969,1511368,14057332,16130544
8970,1511368,14075252,16149140
8971,1511368,14091200,16165280
8972,1511368,14084468,16158256
8973,1511368,14079952,16153324
8974,1492060,14011892,16066604
8975,1492060,14027980,16083028
8976,1492060,14042760,16097536
8977,1492060,14057328,16112128
8978,1492060,14071852,16127588
8979,1492060,14088236,16142360
8980,1492060,14102716,16157608
8981,1491568,14097044,16152336
8982,1491568,14111888,16165872
8983,1491332,14111692,16165916
8984,1490868,14104780,16159632
8985,1490588,14099172,16153580
8987,1490588,14115252,16168180
8988,1491496,14108952,16163804
8989,1494712,14102956,16161136
8990,1497816,14095432,16157592
8991,1500976,14087068,16152204
8992,1504152,14079696,16148612
8993,1507584,14094920,16166620
8994,1508532,14023544,16097224
8995,1508532,14037780,16110688
8996,1508532,14051628,16124964
8997,1508532,14065956,16138256
8998,1508532,14079812,16152968
8999,1508532,14093052,16167460
9000,1508656,14084428,16158284
9001,1508532,14076372,16149028
9002,1508532,14089692,16162660
9003,1508324,14082204,16153532
9004,1508324,14097716,16165452
9005,1508060,14088708,16160056
9006,1507756,14079752,16151464
9007,1507756,14092344,16163952
9008,1507504,14082964,16153648
9009,1507504,14096228,16167684
9010,1507120,14086892,16157908
9011,1506728,14079308,16148784
9012,1506728,14093968,16163700
9013,1506444,14085504,16155580
9014,1486256,14048776,16097984
9015,1485848,14109076,16153952
9016,1485848,13980240,16027236
9017,1485848,14095632,16138264
9018,1485848,14113188,16156288
9019,1485848,13959548,16005248
9020,1485848,14078936,16122724
9021,1485788,13971416,15974888
9022,1485788,13964788,16010476
9023,1485788,14083280,16124476
9024,1485600,13888716,15932580
9025,1485600,14001640,16045856
9026,1485600,14099760,16140476
9027,1484888,13820224,15861272
9029,1484888,13925352,15964728
9030,1487000,14027752,16070104
9031,1490312,13925804,15944524
9032,1494012,13940200,15988512
9033,1497444,14042928,16094224
9034,1500484,13827568,15886592
9035,1504444,13872800,15933600
9036,1504972,13827152,15890488
9037,1504972,13845048,15907520
9038,1504972,13863864,15925900
9039,1504972,13881288,15943532
9040,1504972,13899036,15960636
9041,1505236,13915684,15978324
9042,1505236,13932892,15995224
9043,1505236,13949784,16012276
9044,1505236,13968580,16030376
9045,1505236,13986172,16047468
9046,1505236,14004828,16067208
9047,1505236,14021628,16083112
9048,1505236,14038524,16100100
9049,1505236,14055144,16116476
9050,1505236,14073420,16136328
9051,1505236,14090040,16152408
9052,1484444,14030284,16072736
9053,1484444,14046292,16089392
9054,1484444,14061436,16103652
9055,1484444,14076516,16118364
9056,1484444,14091376,16134784
9057,1484444,14106804,16149136
9058,1484444,14122156,16164620
9059,1484160,14113536,16155840
9060,1483864,14104492,16146548
9061,1483864,14119992,16163284
9062,1483676,14110232,16152720
9063,1483676,14126140,16167920
9064,1483472,14106676,16149196
9065,1485584,14121844,16162612
9066,1488748,14113032,16158904
9067,1492708,14117796,16167128
