,mem,page,total
1,164780,485360,1101360
2,191696,1649760,2201200
3,192500,1965712,2516468
4,178544,2131032,2666344
5,190164,3135704,3749456
6,195448,3581076,4133592
7,186972,3752196,4295156
9,180912,4265232,4888080
10,195164,5121820,5695276
11,195400,5409708,5964752
12,186444,5676308,6315532
13,199908,6619572,7175688
14,198052,6852932,7423776
15,192736,7174444,7725592
17,196960,7967692,8570688
18,202388,8404476,8962344
19,205820,8736392,9308476
20,198428,8991152,9547012
21,220484,9719032,10297424
22,223068,10180588,10790480
23,230988,10398140,10986400
24,234156,10720576,11311988
25,236532,11150092,11743900
26,237588,11366260,11963228
27,238576,11163868,11760460
28,224224,10071416,10654464
29,225544,10276068,10860332
31,180056,5919132,6458120
32,181904,5951264,6491652
33,184280,5992328,6535736
34,186656,6031612,6577616
35,189296,6067764,6616424
36,192200,6105188,6656248
37,195104,6141228,6695568
38,198272,6176936,6733652
39,201704,6211816,6772372
40,205136,6244484,6808008
41,208568,6277288,6844800
42,212528,6309832,6881340
43,216488,6341412,6916864
44,220448,6372688,6951680
45,224408,6402196,6985252
46,228896,6432048,7020036
47,233384,6461940,7054364
48,238136,6489808,7086572
49,242620,6475868,7076776
50,242620,6500176,7101700
51,242620,6521784,7123672
52,242620,6544496,7146216
53,242620,6565572,7167392
54,242620,6585620,7187584
55,242620,6604972,7206476
56,242620,6623500,7225376
57,242620,6641976,7243584
58,242620,6659020,7260680
59,242620,6678004,7279620
60,242620,6694704,7296512
61,242620,6710508,7312356
62,242620,6727912,7329548
63,250536,6769988,7380012
64,251328,6880544,7490520
65,251592,6989300,7600416
66,251592,7089148,7700844
67,251592,7254256,7864328
68,250468,6866196,7476188
69,251520,6962632,7572720
70,251520,7112760,7722228
71,255216,7227400,7842108
72,255216,7348656,7962532
74,255216,7498540,8114300
75,256140,7078184,7693840
76,259568,7221440,7839796
77,260096,7259200,7878036
78,260096,7375988,7994460
79,260096,7012220,7631936
80,260096,7024708,7644372
81,260096,7036624,7656452
82,260096,7048288,7667588
83,260096,7059604,7678644
84,260096,7070524,7689520
85,261940,7088412,7708892
86,262732,7053504,7675588
87,262732,7062604,7684856
88,262732,7071484,7693188
89,262732,7079896,7703144
90,262732,7088492,7711444
91,262732,7097304,7720028
92,262732,7105492,7727476
93,262732,7114008,7735200
94,262732,7121896,7742800
95,262732,7092432,7714056
96,262732,7099700,7721512
97,262732,7106600,7728724
98,262732,7113296,7736056
99,262732,7120140,7742412
100,262732,7127196,7749760
101,262732,7133912,7756296
102,262732,7140372,7762596
103,262732,7147136,7769064
104,262732,7153836,7776040
105,267220,7188600,7815344
106,267220,7292092,7918428
107,267484,7396588,8023780
108,270124,7502108,8131636
109,270652,7481432,8076940
110,271708,7249104,7880448
111,271708,7359508,7991052
112,271708,7458808,8090048
113,270560,7167408,7798508
114,271352,7127436,7759140
115,271352,7136912,7767992
117,271352,7146276,7777276
118,271352,7155572,7786040
119,271352,7164440,7795404
120,271352,7173736,7804476
121,271352,7177592,7777128
122,271352,7153732,7785380
123,271352,7161644,7792152
124,271352,7169452,7799760
125,271352,7177084,7807840
126,271352,7184456,7815952
127,271352,7192204,7823000
128,271352,7199544,7830560
129,271352,7207332,7838460
130,271352,7177044,7808480
131,271352,7183408,7814748
132,271352,7190008,7821584
133,271352,7196568,7827584
134,271352,7202752,7833884
135,271352,7209328,7840476
136,271352,7215548,7846452
137,271352,7221956,7853352
138,271352,7228544,7859408
139,271352,7260696,7891332
140,266388,7307728,7935772
141,266388,7407440,8034996
142,266652,7510920,8137716
143,269556,7321276,7950320
144,269820,7426348,8055428
145,267640,7211052,7837360
146,267640,7221488,7846692
147,277404,7194836,7830368
148,277404,7203300,7838864
149,277668,7211872,7848440
150,277668,7220368,7856764
151,277668,7228816,7865308
152,277668,7236972,7873144
153,277668,7245588,7882136
154,277668,7253844,7891216
155,277668,7224396,7862072
156,277668,7231848,7869040
157,277668,7238808,7875704
158,277668,7245904,7882776
160,277668,7252916,7889572
161,277668,7259764,7896928
162,277668,7266732,7903724
163,277668,7273860,7910608
164,277668,7295008,7929968
165,277668,7250396,7887224
166,277668,7256524,7892956
167,277668,7262440,7898264
168,277668,7268668,7904728
169,277668,7274508,7910508
170,277668,7280508,7916596
171,277668,7286692,7922212
172,277668,7292524,7928204
173,277668,7298324,7934016
174,277668,7304312,7940088
175,278988,7335496,7972184
176,279252,7435364,8072444
177,280044,7548180,8185944
178,281364,7308200,7948496
179,283740,7425464,8068336
180,283740,7534004,8178060
181,285588,7406008,8051320
182,285588,7518180,8160500
183,285588,7578104,8222616
184,284172,7258844,7904176
185,284172,7267612,7912452
186,284172,7276556,7921548
187,284172,7285264,7931092
188,284172,7294064,7939424
189,284172,7303008,7948032
190,284172,7274432,7920052
191,284172,7282072,7927360
192,284172,7289556,7934748
193,284172,7296784,7942040
194,284172,7304372,7949420
195,284172,7311540,7957264
196,284172,7318924,7964548
197,284172,7326404,7972084
198,284172,7359476,8004908
