,mem,page,total
1,149900,232428,729484
3,184468,1367288,1855004
4,200840,1865800,2341004
5,204800,1914264,2393664
6,202444,1932424,2409492
7,202708,1980692,2457980
8,182876,2703380,3163188
9,193176,3297304,3769584
10,197140,3610216,4081308
11,202420,3709276,4186456
12,203212,3753648,4230580
13,205324,3810992,4290184
14,181012,3910128,4422696
15,185240,4571872,5032260
17,191572,5095476,5586688
18,200816,5472464,5948572
19,204784,5595708,6074348
20,205840,5642452,6122048
21,206896,5698404,6179340
22,190236,6201552,6698732
23,196832,6749916,7284480
24,203696,7248744,7725904
25,205808,7365880,7844780
26,207248,7486804,7967996
28,209360,7581696,8065208
29,194840,7900792,8370004
30,196420,8155804,8624888
31,201964,8579936,9101580
32,206716,8847716,9327396
33,216220,9081000,9570460
34,211732,9175448,9661168
35,212260,9499044,9985860
36,214788,9872456,10372372
37,212944,10147764,10671624
38,229832,10484552,10988628
40,227380,10568428,11072332
41,229168,10708780,11212200
42,231544,10825464,11331872
43,234448,11029068,11539112
44,236824,11176192,11702352
45,238936,11415632,11929320
46,240520,11548844,12063208
47,240784,11757520,12274180
48,241312,11975132,12492660
49,243688,12117592,12637332
50,236516,11347836,11858916
51,237308,11562880,12075124
52,239156,11540100,12052996
53,240476,11605304,12119708
55,183928,6122152,6580528
56,186304,6147528,6608020
57,189472,6180616,6643748
58,192904,6216816,6684920
59,195544,6245916,6715820
60,198712,6277424,6749888
61,201088,6301528,6777088
62,203992,6330296,6808384
63,207424,6363300,6844168
64,210592,6392360,6876448
65,213760,6422940,6911060
66,217456,6457744,6950128
67,219568,6476596,6970524
68,223264,6509608,7007080
69,227224,6543724,7046384
70,230392,6571932,7077356
71,234088,6604508,7113172
72,238048,6638548,7150820
73,243324,6680780,7199660
74,244644,6656276,7175516
75,244644,6685032,7204504
76,244644,6715076,7235012
77,244644,6744000,7263724
78,244644,6766240,7284680
79,244644,6789984,7308432
80,244644,6812636,7331868
81,244644,6840188,7359304
82,244644,6869332,7388512
83,244644,6893912,7414232
84,244644,6919620,7439652
85,244644,6945108,7465420
86,244644,6969056,7488556
87,244644,6995924,7515852
88,244644,7022404,7542880
89,244644,7051316,7571860
90,244644,7079432,7599312
91,244644,7099888,7619984
92,249128,7094436,7619368
93,249920,7173256,7698568
95,250712,7277668,7804360
96,250712,7364032,7889552
97,250712,7461148,7987108
98,250976,7548404,8075536
99,250976,7626468,8152656
100,250976,7715544,8241092
101,251444,7293320,7819780
102,253292,7385252,7914296
103,254612,7472036,8002740
104,254612,7582976,8112360
105,254876,7681264,8209812
106,254888,7433000,7962096
107,254888,7516236,8045964
108,254888,7599060,8128384
109,254888,7682064,8211924
110,254888,7776416,8307328
111,255680,7857608,8350072
112,255680,7461424,7992712
113,255680,7485892,8016660
114,255680,7511860,8043648
115,255680,7535480,8067540
116,258316,7516404,8048996
117,258316,7536256,8068684
118,258316,7558060,8091300
119,258316,7579648,8113460
120,258316,7600788,8134840
121,258316,7620648,8154984
122,258316,7645576,8179208
123,258316,7665136,8198020
124,258316,7686352,8220268
125,258316,7709396,8243208
126,258316,7730148,8264108
127,258316,7751280,8284764
128,258316,7769240,8302600
129,258316,7789048,8323076
130,258316,7812764,8346520
131,258316,7836372,8369924
132,260952,7817112,8354488
134,260952,7835264,8372444
135,260952,7853840,8391140
136,260952,7874912,8411504
137,260952,7893272,8428356
138,260952,7913252,8448020
139,260952,7931548,8467204
140,260952,7950124,8485864
141,260952,7968688,8504784
142,260952,7989456,8525724
143,260952,8008724,8544252
144,260952,8028920,8564476
145,260952,8046776,8581668
146,260952,8064828,8600756
147,260952,8083148,8619208
148,260952,8099104,8635564
149,260952,8116852,8653172
150,260952,8097072,8633508
151,260952,8115752,8651204
152,260952,8133816,8669168
153,260952,8151924,8687620
154,260952,8169896,8705432
155,260952,8185064,8720300
156,260952,8201332,8737208
157,260952,8217408,8753424
158,260952,8233252,8769480
159,260952,8248404,8785276
160,260952,8262892,8799544
161,260952,8281132,8817176
162,260952,8297784,8833452
163,260952,8314632,8850596
164,260952,8329684,8866204
165,260952,8344532,8880356
166,260952,8360544,8895364
167,260952,8338884,8874796
168,260952,8417084,8953040
169,260952,8510156,9045400
170,260952,8593372,9128080
171,260952,8669392,9205956
172,260952,8745960,9282232
173,265176,8495912,9035996
175,265176,8609212,9149184
176,265176,8721596,9261812
177,265176,8825400,9366432
178,265176,8893824,9434528
179,265176,8990784,9531468
180,265176,9056200,9596460
181,264136,8611328,9150364
182,264136,8633228,9172280
183,264136,8655376,9194456
184,264136,8677776,9217616
185,264136,8699388,9239864
186,264136,8679728,9220508
187,264136,8699832,9240196
188,264136,8721356,9261616
189,264136,8740600,9279656
190,264136,8759152,9298352
191,264136,8780192,9320284
192,264136,8801232,9340688
193,264136,8821384,9360164
194,264136,8841796,9380332
195,264136,8862408,9401344
196,264136,8882456,9420936
197,264136,8928304,9467060
198,264136,8879752,9419416
199,264136,8895516,9434376
200,264136,8911708,9450064
201,264136,8927136,9466704
202,264136,8942900,9481304
203,264136,8958728,9497228
204,264136,8974232,9514224
205,264136,8989216,9527500
206,264136,9006136,9544684
207,264136,9021596,9560624
208,264136,9036560,9575980
209,264136,9052856,9591800
210,264136,9068480,9607432
211,264136,9043892,9583656
212,264136,9057532,9596972
214,264136,9071228,9610368
215,264136,9084616,9622692
216,264136,9098288,9637332
217,264136,9111452,9650216
218,264136,9124980,9663992
219,264136,9139592,9679064
220,264136,9152768,9691624
221,264136,9165504,9704452
222,264136,9178548,9717476
223,264136,9191464,9729816
224,264136,9204380,9743440
225,264136,9218632,9757584
226,264136,9233104,9771688
227,268092,9273072,9816672
228,268356,9347300,9890404
229,268356,9420432,9963744
230,268356,9499160,10042132
231,268620,9241656,9784920
232,271788,9331916,9878592
233,272052,9425948,9972336
234,272052,9525012,10072128
235,272052,9643100,10190324
236,272052,9732248,10279856
237,269040,9390624,9935144
238,269040,9409636,9953232
239,269040,9425908,9970084
240,269040,9442720,9986952
241,269040,9487704,10032068
242,269040,9437876,9982732
243,269040,9453676,9999500
244,269040,9469348,10014216
245,269040,9484760,10029540
246,269040,9499680,10043912
247,269040,9514076,10058592
248,269040,9528312,10072632
249,269040,9542312,10086940
250,269040,9556496,10099784
251,269040,9570384,10114944
252,269040,9610912,10155436
253,269040,9558876,10104108
255,269040,9570792,10115700
256,269040,9583000,10127520
257,269040,9594988,10140104
258,269040,9608936,10152404
259,269040,9621964,10165328
260,269040,9635160,10177888
261,269040,9647664,10191016
262,269040,9660416,10204144
263,269040,9672636,10217036
264,269040,9684436,10227840
265,269040,9696160,10239148
266,269040,9668300,10212152
267,269040,9678936,10222792
268,269040,9689580,10233400
269,269040,9699760,10245040
270,269040,9710092,10254424
271,269040,9720280,10264860
272,269040,9731152,10275232
273,269040,9741720,10285572
274,269040,9751872,10295816
275,269040,9762320,10306220
276,269040,9772452,10315580
277,269040,9782052,10326624
278,269040,9792080,10336664
279,269040,9823420,10368016
280,269304,9837396,10382024
281,269832,9925732,10470664
282,269832,10009288,10554124
283,269832,10088804,10633816
284,269832,10165232,10709976
285,272472,9869336,10417892
286,273264,9812440,10360176
287,273792,9906456,10455204
288,274584,9989876,10539536
289,274584,10099368,10648636
290,274584,10188504,10737632
291,274584,10275596,10824768
292,274584,10370356,10919292
293,274584,10440960,10989836
294,276168,9875264,10426024
296,276168,9850540,10401816
297,276168,9865760,10416960
298,276168,9880560,10432396
299,276168,9894044,10445020
300,276168,9907772,10458612
301,276168,9921472,10471896
302,276168,9935072,10485860
303,276168,9948888,10499704
304,276168,9962184,10512808
305,276168,9934316,10485828
306,276168,9945844,10497744
307,276168,9958020,10510060
308,276168,9969412,10521644
309,276168,9980764,10532936
310,276168,9991864,10543764
311,276168,10003284,10554388
312,276168,10014244,10566312
313,276168,10025524,10577904
314,276168,10037772,10589424
315,276168,10048404,10599300
316,276168,10019884,10570840
317,276168,10029656,10580416
318,276168,10039344,10589976
319,276168,10049228,10600412
320,276168,10058916,10609940
321,276168,10068228,10619296
322,276168,10077628,10629108
323,276168,10087244,10638676
324,276168,10097012,10648220
325,276168,10106692,10657796
326,276168,10116440,10668136
327,276168,10131140,10682492
328,280656,10161960,10718284
329,280656,10234412,10791308
330,280656,10332340,10887400
331,280656,10416524,10973096
332,282504,10486264,11043128
333,283824,10569632,11126476
334,283824,10652872,11210936
335,283824,10138056,10696336
336,283824,10152136,10710076
337,283824,10166380,10724584
339,283824,10180428,10738924
340,283824,10219424,10757820
341,283824,10168816,10727724
342,283824,10181628,10740576
343,283824,10194008,10753248
344,283824,10206420,10764384
345,283824,10218368,10776992
346,283824,10230732,10789228
347,283824,10242984,10801584
348,283824,10254440,10813192
349,283824,10227400,10786716
350,283824,10237564,10796268
351,283824,10248196,10807348
352,283824,10258344,10817952
353,283824,10268356,10826248
354,283824,10278504,10836896
355,283824,10288592,10847188
356,283824,10298612,10857332
357,283824,10308388,10866324
358,283824,10317716,10875500
359,283824,10288684,10846636
360,283824,10297024,10855180
361,283824,10305540,10863292
362,283824,10313960,10871332
363,283824,10322196,10880428
364,283824,10330696,10889500
365,283824,10339452,10897256
366,283824,10347828,10906596
367,283824,10356240,10914944
368,283824,10364656,10923268
369,283824,10372840,10930568
370,283824,10406492,10963848
371,283824,10416104,10974976
372,283824,10489612,11047528
373,283824,10574376,11131704
374,283824,10663320,11221000
375,283824,10727252,11286756
376,286724,10830808,11392328
377,286724,10919948,11480724
378,286724,10998636,11559380
380,286724,11081952,11643532
381,279668,10535276,11059596
382,282304,10481604,11038448
383,282304,10552052,11110244
384,282304,10630132,11187348
385,282304,10718080,11275776
386,282304,10761792,11319892
387,282304,10834416,11392288
388,270288,10400076,10945932
389,270288,10411232,10956664
390,270288,10422164,10967548
391,270288,10433008,10977880
392,270288,10444096,10989236
393,270288,10455372,11000544
394,270288,10466656,11011948
395,270288,10438224,10984032
396,270288,10448008,10993048
397,270288,10457584,11002176
398,270288,10466816,11011712
399,270288,10476300,11020776
400,270288,10485732,11030936
401,270288,10495156,11040440
402,270288,10504852,11050536
