,mem,page,total
656,2131428,13475360,15944452
657,2131428,13496060,15964616
658,2112992,13540820,15993228
659,2112992,13469372,15920384
660,2112992,13590780,16040588
661,2112992,13479320,15930508
662,2112992,13599704,16051240
663,2116160,13701360,16157784
664,2125928,13688344,16152584
665,2133056,13255560,15728244
666,2134364,13361976,15833220
667,2134628,13196348,15670408
668,2134628,13206004,15680132
669,2134628,13215544,15688920
670,2134628,13224664,15697912
671,2134628,13234200,15707856
672,2115168,13205408,15660720
673,2115168,13213552,15668028
674,2115168,13221628,15675896
675,2115168,13229232,15684252
676,2115168,13237036,15691732
677,2115168,13244964,15699608
678,2122032,13252484,15714788
679,2130216,13260300,15729564
680,2133384,13230084,15703756
681,2133384,13237024,15710592
682,2133648,13243492,15717268
683,2133648,13249908,15724096
684,2133648,13256568,15730452
685,2133648,13262948,15736860
686,2133648,13269732,15742568
687,2133648,13276120,15749920
688,2133648,13282684,15755808
689,2115216,13264884,15719348
690,2115216,13264248,15718072
691,2115216,13385680,15839084
692,2115216,13488968,15941816
693,2115216,13607644,16059080
694,2115480,13325640,15781520
695,2123900,13419868,15883076
697,2132348,13268360,15740312
698,2134460,13224320,15698908
699,2134460,13232880,15707532
700,2134724,13241672,15715936
701,2134724,13250532,15725436
702,2134724,13259340,15733724
703,2134724,13267672,15741524
704,2134724,13276068,15750076
705,2115264,13247244,15702632
706,2115264,13254444,15709688
707,2115264,13261920,15716720
708,2115264,13269232,15723924
709,2115264,13276264,15730740
710,2115264,13283680,15737604
711,2118960,13290656,15748360
712,2126616,13297852,15763268
713,2133480,13267852,15740732
714,2133480,13274436,15747096
715,2133480,13280648,15753444
716,2133744,13287000,15760240
717,2133744,13293544,15765776
718,2133744,13299660,15771804
719,2133744,13306140,15778040
720,2133744,13312056,15785056
721,2133744,13318512,15790648
722,2133744,13324600,15796644
723,2115308,13312124,15767824
724,2115308,13311120,15765356
725,2115308,13356784,15810656
726,2115308,13460220,15913512
727,2115308,13329692,15784288
728,2116624,13448760,15903104
729,2122960,13554584,16016588
730,2133256,13329444,15802576
731,2136024,13396592,15870412
732,2138136,13501840,15977528
733,2138104,13336880,15813136
734,2138632,13445500,15921508
735,2139424,13229396,15708496
736,2139424,13239280,15717348
737,2139424,13274380,15752772
738,2119964,13219964,15679728
740,2119964,13228032,15687256
741,2119964,13236436,15694816
742,2119964,13244172,15702404
743,2119964,13252252,15710400
744,2121812,13259792,15719992
745,2129996,13267432,15735356
746,2137916,13238552,15715684
747,2137916,13245264,15722012
748,2137916,13252144,15729628
749,2138180,13259128,15736888
750,2138180,13265684,15743520
751,2138180,13272640,15749932
752,2138180,13279376,15756640
753,2138180,13285896,15762600
754,2138180,13292512,15769564
755,2138180,13302104,15776984
756,2119748,13350256,15808516
757,2119748,13352928,15808852
758,2119748,13473136,15929040
759,2119748,13576544,16033348
760,2119148,13360040,15818024
761,2126276,13468140,15931128
762,2137100,13266296,15741852
763,2139740,13232116,15711688
764,2139740,13241268,15720744
765,2140004,13249992,15729724
766,2140004,13259064,15738148
767,2140004,13268096,15746588
768,2140004,13277000,15755592
769,2140004,13291952,15770432
770,2120544,13256788,15716284
771,2120544,13264220,15723432
772,2120544,13271756,15731036
773,2120544,13279400,15738444
774,2120544,13286580,15745400
775,2120544,13293940,15752240
776,2126088,13301304,15765716
777,2133744,13308444,15781432
778,2138760,13278584,15757248
779,2138760,13284916,15763184
780,2138760,13291444,15768728
781,2139024,13298092,15775004
782,2139024,13304348,15781844
784,2139024,13310744,15788604
785,2139024,13316732,15794764
786,2139024,13323276,15801300
787,2139024,13329436,15807516
788,2139024,13335780,15814656
789,2122172,13370948,15830512
790,2122172,13376216,15836700
791,2122436,13342548,15803368
792,2123196,13458176,15919288
793,2121612,13562916,16024032
794,2121348,13396776,15858640
795,2131116,13516196,15985736
796,2140356,13638360,16116472
797,2142204,13358960,15838988
798,2143260,13450856,15931264
799,2136192,13273636,15748080
800,2136192,13282996,15756924
801,2136192,13292400,15765712
802,2136192,13301744,15775232
803,2115708,13273552,15726952
804,2115708,13296388,15747948
805,2115708,13304132,15756452
806,2115708,13312124,15764004
807,2115708,13319608,15772744
808,2115708,13327360,15781152
809,2118348,13335256,15790848
810,2126268,13342708,15806860
811,2133924,13313484,15787008
812,2133924,13320116,15793544
813,2133924,13327084,15799576
814,2134188,13333828,15805080
815,2134188,13340444,15811548
816,2134188,13347080,15818996
