,mem,page,total
1,149040,258364,823388
3,190988,1573352,2097020
4,194148,1905096,2392484
5,174628,2022772,2488572
6,190968,3065556,3547068
7,192304,3497128,3979640
8,190416,3758200,4239168
9,181984,4199864,4723472
10,191484,4968248,5449320
11,192292,5290036,5772500
13,185712,5676992,6160200
14,198340,6335604,6824000
15,196228,6652012,7137808
16,196488,7053768,7541268
17,197548,7451456,7945328
18,202792,8184432,8677344
19,195540,8541204,9027904
20,200288,8990808,9483236
21,211640,9457812,9959240
22,220760,9843872,10354672
23,222288,10081652,10592664
24,232584,10480300,11002344
25,234696,10767484,11291880
26,236016,11139932,11667932
27,237864,11464928,11994356
28,228584,10257588,10776304
29,229904,10486100,11005380
30,231488,10680748,11201176
31,181792,5974320,6445432
33,183376,6002560,6475672
34,185488,6041692,6516456
35,187864,6079856,6557216
36,190240,6114188,6594796
37,193144,6151424,6633256
38,195784,6186760,6672096
39,198952,6222196,6711084
40,202120,6256084,6748136
41,205552,6288808,6784188
42,208720,6321832,6820532
43,212416,6353956,6855796
44,216376,6385440,6892304
45,220072,6416116,6925820
46,224032,6445464,6960100
47,227992,6474140,6991820
48,231952,6500552,7022652
49,236324,6528696,7055476
50,240812,6555480,7086432
51,244504,6539600,7074872
52,244504,6561180,7097096
53,244504,6582380,7116184
54,244504,6603504,7136840
55,244504,6625760,7159812
56,244504,6644796,7178768
57,244504,6663764,7198140
58,244504,6682428,7215960
59,244504,6701820,7235672
60,244504,6718716,7252800
61,244504,6735656,7271016
62,244504,6752136,7286820
63,244504,6768416,7302452
64,244504,6783668,7317800
65,248196,6792580,7330448
66,248724,6905984,7443596
67,248724,6994444,7532088
68,248988,7101380,7640008
69,248988,7238376,7777804
70,249816,6881992,7421068
71,252720,7063204,7606564
72,253280,7059552,7603028
73,253280,7218972,7761976
74,253280,7316000,7858808
75,253524,7131932,7674772
77,253788,7222176,7764720
78,253788,7337348,7880640
79,256424,7394580,7941828
80,258008,7133356,7682192
81,258008,7249596,7797860
82,258272,7079452,7628112
83,258272,7091292,7640412
84,258272,7103228,7651744
85,258272,7115128,7663360
86,258272,7126860,7675756
87,258272,7137868,7686608
88,260116,7166536,7716288
89,261172,7120124,7670920
90,261172,7129272,7679260
91,261172,7138016,7688592
92,261172,7146872,7697120
93,261172,7155472,7706744
94,261172,7164112,7715344
95,261172,7173008,7723912
96,261172,7181152,7732536
97,261172,7189352,7740056
98,261172,7159240,7710628
99,261172,7166240,7718480
100,261172,7173192,7724204
101,261172,7179836,7731284
102,261172,7186468,7739152
103,261172,7193480,7744828
104,261172,7200036,7751192
105,261172,7207112,7758548
106,261172,7213840,7765368
107,261172,7220584,7770864
108,264076,7233496,7788520
109,265924,7330696,7886564
110,266188,7446104,8003028
111,266188,7240292,7797144
112,266188,7206756,7762768
113,267772,7317864,7875076
114,267772,7428992,7986932
115,267772,7530956,8088716
116,267072,7221444,7779820
118,269184,7193544,7753084
119,269184,7203124,7762928
120,269184,7212436,7772196
121,269184,7221644,7780828
122,269184,7231024,7789892
123,269184,7240332,7798728
124,269184,7249468,7808036
125,260132,7219700,7768700
126,260132,7227672,7777072
127,260132,7235192,7785136
128,260132,7242908,7792216
129,260132,7250672,7800336
130,260132,7258036,7807500
131,260132,7265784,7815416
132,260132,7273324,7822904
133,266728,7242972,7799664
134,266728,7249128,7805908
135,266992,7255876,7813516
136,266992,7262384,7819776
137,266992,7268640,7826052
138,266992,7275268,7832392
139,266992,7281676,7838960
140,266992,7288112,7844724
141,266992,7294724,7850992
142,266992,7301008,7857488
143,268048,7291148,7849920
144,269632,7408436,7968928
145,269632,7509180,8068444
146,269632,7302492,7861568
147,271744,7417788,7978756
148,271744,7517580,8079288
149,274384,7634200,8197996
150,275704,7731112,8297284
151,260968,7514236,8064352
152,259796,7236008,7784944
153,259796,7244476,7794072
154,259796,7253228,7803144
155,259796,7261656,7811996
156,259796,7270324,7820516
157,259796,7278896,7828620
158,267684,7287304,7845316
159,270852,7257620,7818792
160,270852,7264660,7825336
162,270852,7272100,7833108
163,270852,7279524,7839936
164,270852,7286532,7847172
165,270852,7293884,7854000
166,270852,7300864,7862088
167,270852,7308148,7868032
168,270852,7315260,7875632
169,272172,7283920,7846660
170,272172,7290004,7852740
171,272172,7296416,7858528
172,272172,7302604,7864876
173,272172,7308584,7870956
174,272172,7314932,7876996
175,272172,7320892,7883068
176,272172,7327048,7888896
177,272172,7333352,7895456
178,272172,7339240,7901188
179,274548,7348960,7913576
180,276660,7448088,8013904
181,276660,7561500,8129548
182,279564,7388860,7958212
183,279828,7509688,8078896
184,279828,7336152,7905520
185,279828,7346636,7916348
186,279828,7357248,7926364
187,280092,7329812,7899456
188,280092,7338228,7907748
189,280092,7347000,7916892
190,280092,7355812,7925988
191,280092,7364308,7934296
192,280092,7372992,7942864
193,280092,7381756,7951668
194,280092,7352712,7922428
195,280092,7359948,7930336
196,280092,7367192,7937692
197,280092,7374152,7944464
198,280092,7381480,7951772
199,280092,7388532,7958096
200,280092,7395768,7965208
201,280092,7403172,7973264
202,280092,7410172,7979816
203,280092,7379700,7949356
205,280092,7386072,7955112
206,280092,7392248,7961592
207,280092,7398192,7967332
208,280092,7404424,7973616
209,280092,7410812,7980168
210,280092,7416792,7986672
211,280092,7423948,7993540
212,280092,7430464,7999896
213,280092,7436420,8005604
214,280884,7440008,8010904
215,280884,7545364,8115744
216,280884,7654860,8225576
217,280884,7448784,8018400
218,282204,7560664,8132036
219,282100,7464000,8035676
220,283948,7563076,8136336
221,283948,7678204,8251656
222,284212,7374904,7949520
223,284212,7383008,7957640
224,284212,7391584,7965696
225,284212,7399628,7973604
226,284212,7408080,7982708
227,284212,7416568,7991032
228,284212,7424740,7999088
229,284212,7433252,8008256
230,284212,7404044,7978440
231,284212,7411040,7985260
232,284212,7417808,7992040
233,284212,7424952,7999932
234,284212,7431632,8006468
235,284212,7438692,8012720
236,284212,7445952,8019272
237,284212,7452812,8026068
238,284212,7460048,8033684
239,284212,7429608,8003152
240,284212,7435888,8010272
241,284212,7448700,8022824
242,284212,7454512,8028832
243,284212,7460484,8034408
244,284212,7466676,8041820
245,284212,7472588,8048080
246,284212,7478908,8053868
248,284212,7484992,8060168
249,284212,7490996,8065608
250,284212,7468928,8042464
251,272596,7583104,8145588
252,272596,7680280,8241780
253,273652,7516532,8079760
254,275500,7619596,8184276
255,275500,7742052,8306284
256,275764,7493356,8059024
257,280512,7504176,8074208
258,288696,7476384,8055748
259,288696,7485308,8065128
260,288960,7494256,8073184
261,288960,7503124,8082824
262,288960,7511612,8091620
263,288960,7520268,8099808
264,288960,7529024,8108668
265,275800,7499952,8066200
266,275800,7507256,8072900
267,275800,7514668,8080176
268,275800,7521820,8087476
269,275800,7529268,8095784
270,275800,7536288,8102792
271,275800,7543600,8109368
272,275800,7550996,8115920
273,281724,7557972,8128812
274,287796,7527516,8104432
275,287796,7533832,8110800
276,287796,7539928,8116904
277,288060,7546088,8123432
278,288060,7552540,8130204
279,288060,7558784,8136024
280,288060,7564816,8142600
281,288060,7571192,8148688
282,288060,7577212,8154600
283,288060,7583420,8160884
284,288060,7615872,8192856
285,278820,7656284,8225712
286,278820,7765188,8333284
287,278820,7870732,8439888
288,278820,7664836,8234736
289,278820,7783400,8352152
290,279344,7616576,8185564
292,281188,7718588,8289956
293,290956,7847492,8428312
294,293596,7540176,8124288
295,293596,7548912,8133480
296,293860,7557728,8141912
297,293860,7566516,8150496
298,293860,7574872,8158836
299,293860,7583468,8167404
300,293860,7592120,8176492
301,280560,7562592,8134180
302,280560,7569608,8140936
303,280560,7576940,8148316
304,280560,7584392,8155892
305,280560,7591428,8163224
306,280560,7598560,8170004
307,280560,7605892,8177352
308,281468,7613252,8185596
309,288596,7620024,8199772
310,292556,7589220,8172052
311,292556,7595620,8178668
312,292820,7601688,8184408
313,292820,7607968,8191024
314,292820,7614028,8197096
315,292820,7620408,8203600
316,292820,7626392,8210468
317,292820,7632580,8216020
318,292820,7638956,8222248
319,292820,7644920,8228556
320,280764,7631684,8203584
321,280764,7747856,8318008
322,280764,7845264,8417320
323,280764,7685504,8256892
324,280764,7790372,8360652
325,280764,7911452,8481920
326,280764,8017872,8587916
327,285664,7653480,8229288
328,293848,7625860,8209404
329,294112,7634780,8219272
330,294112,7643468,8227832
331,294112,7652364,8236516
332,294112,7660836,8244504
333,294112,7669772,8253584
334,294112,7678560,8261616
336,294112,7713380,8296368
337,280796,7656676,8227588
338,280796,7664188,8234596
339,280796,7671288,8241920
340,280796,7678716,8249488
341,280796,7685996,8256488
342,280796,7692988,8262584
343,280796,7700376,8270104
344,286192,7707396,8282704
345,292792,7676800,8259544
346,292792,7683128,8266884
347,293056,7689452,8272900
348,293056,7695560,8278672
349,293056,7701636,8284964
350,293056,7707948,8291344
351,293056,7714288,8298228
352,293056,7720292,8304056
353,293056,7726488,8309740
354,293056,7732872,8315480
355,293056,7750944,8334372
356,281708,7796220,8367644
357,282764,7913104,8485476
358,282764,8012012,8585056
359,285668,7802084,8377896
360,285668,7915284,8490492
361,285668,8014708,8589592
362,288044,7734096,8312604
363,298864,7838032,8426280
364,303088,7915004,8508644
365,303352,8019720,8614248
366,303616,7659084,8252604
367,303616,7667176,8260724
368,303616,7675748,8269616
369,303616,7683960,8277900
370,303616,7692504,8285884
371,303616,7724676,8317612
372,290300,7670728,8250888
373,290300,7677904,8258272
374,290300,7684884,8265572
375,290300,7692044,8272792
376,290300,7699220,8279108
377,290300,7706072,8285684
378,290300,7713088,8293512
380,294112,7720268,8304104
381,300976,7745920,8337816
382,302296,7695956,8288212
383,302560,7702084,8294188
384,302560,7708028,8300016
385,302560,7714328,8307088
386,302560,7720224,8312916
387,302560,7726292,8318672
388,302560,7732532,8324744
389,302560,7738408,8331124
390,302560,7744260,8337432
391,302560,7750252,8342676
392,290284,7757088,8337976
393,290284,7858972,8438468
394,290284,7969292,8549136
395,290284,7798928,8379248
396,290284,7915840,8495664
397,290284,8021012,8600748
398,290284,7745844,8325880
399,295976,7756524,8343496
400,303368,7728840,8323172
401,303632,7737260,8332220
402,303632,7746168,8340820
403,303632,7754840,8348812
404,303632,7763228,8357648
405,303632,7771976,8365908
406,303632,7780248,8374224
407,303632,7815256,8408944
408,290436,7758492,8338904
409,290436,7765636,8346512
410,290436,7773076,8354080
411,290436,7780304,8360964
412,290436,7787284,8367012
413,290436,7794608,8373500
414,290436,7801516,8380596
415,295184,7808652,8393496
416,302312,7778304,8370532
417,302312,7784148,8376604
418,302576,7790612,8382840
419,302576,7796468,8388920
420,302576,7802992,8395504
421,302576,7808968,8401592
422,302576,7815116,8407088
424,302576,7821436,8413664
425,302576,7827372,8419380
426,302576,7833692,8426304
427,302576,7839796,8432484
428,290700,7875152,8455764
429,290700,7984692,8564084
430,290700,8088748,8668640
431,292548,7887336,8469380
432,292812,7996792,8578936
433,292812,8109412,8690776
434,292812,7881240,8462520
435,299144,7985248,8573676
436,305744,8068144,8664380
437,306008,7806720,8403660
438,306008,7814724,8411432
439,306008,7822928,8419968
440,306008,7831228,8428236
441,306008,7839280,8435868
442,306008,7847848,8443892
443,306008,7855972,8451752
444,292692,7826216,8409976
445,292692,7833420,8416252
446,292692,7840188,8423356
447,292692,7847092,8430972
448,292692,7853852,8438004
449,292692,7861068,8444060
450,292692,7867856,8451312
451,294392,7874824,8459660
452,301256,7881936,8474000
453,304688,7851420,8446492
454,304688,7857116,8452564
455,304952,7863096,8458312
456,304952,7869228,8464360
457,304952,7874976,8470156
458,304952,7881228,8475928
459,304952,7887248,8481968
460,304952,7893088,8487984
461,304952,7898936,8493796
462,304952,7905148,8499820
463,304952,7937664,8531596
464,292812,7983176,8564892
465,292812,8086792,8668796
466,292812,8199164,8781976
467,292812,7957928,8540024
469,292812,8071232,8653464
470,292812,8179648,8761808
471,292812,7895864,8479356
472,301784,7905940,8497712
473,305744,7876972,8472204
474,306008,7885416,8481340
475,306008,7893768,8489096
476,306008,7902280,8497184
477,306008,7910380,8505784
478,306008,7918792,8514004
479,306008,7927068,8522596
480,292736,7897964,8480096
481,292736,7904756,8487276
482,292736,7911856,8494380
483,292736,7918408,8501096
484,292736,7925584,8507876
485,292736,7932552,8515120
486,292736,7939472,8521436
487,292736,7946412,8528200
488,296284,7953116,8539240
489,303148,7971428,8563920
490,304732,7928772,8524600
491,304996,7934760,8529852
492,304996,7940888,8535592
493,304996,7946676,8542492
494,304996,7952888,8547784
495,304996,7958876,8553336
496,304996,7964676,8558604
497,304996,7970468,8565504
498,304996,7976640,8571008
499,304996,7982700,8577096
500,294036,7966024,8549400
501,296940,8081628,8668432
502,296940,8179680,8766744
503,297468,8295064,8882876
504,297468,8024828,8613196
505,298524,8129240,8718092
506,298524,8251048,8839240
507,300372,8045840,8635576
508,309232,8017284,8615416
509,316360,8081476,8686024
510,316624,8182852,8787848
511,316624,7946420,8552764
513,316624,7954952,8562356
514,316624,7963340,8570372
515,316624,7972216,8578444
516,316624,7981680,8588280
517,302284,7952592,8545960
518,302284,7960212,8553600
519,302284,7967168,8561136
520,302284,7974296,8568964
521,302284,7981780,8575768
522,302284,7988792,8582548
523,302284,7996232,8590068
524,302372,8003464,8598140
525,309760,8010668,8612244
526,314248,7980176,8585784
527,314248,7986408,8591800
528,314512,7992424,8597360
529,314512,7998816,8602888
530,314512,8004872,8610056
531,314512,8011152,8615172
532,314512,8017596,8621764
533,314512,8023640,8627796
534,314512,8030052,8634364
535,314512,8036276,8640152
536,302220,8027336,8619472
537,302484,8142468,8735472
538,302484,8241792,8833948
539,302484,8034932,8626836
540,305124,8152388,8747476
541,305124,8253316,8848384
542,305124,8369364,8965124
543,298416,8008600,8597068
544,308448,7981252,8579696
545,309240,7989456,8589004
546,309504,7997620,8598336
547,309504,8006016,8606124
548,309504,8014468,8613904
549,309504,8022572,8621796
550,309504,8030808,8629804
551,309504,8039016,8638380
552,296188,8009252,8595580
553,296188,8015864,8601352
554,296188,8023052,8608416
556,296188,8030084,8615652
557,296188,8037020,8622196
558,296188,8044076,8630040
559,296188,8050988,8637072
560,296188,8057672,8643144
561,301056,8064688,8654972
562,307920,8033900,8631456
563,308184,8039636,8637024
564,308448,8045888,8644112
565,308448,8051656,8649112
566,308448,8057752,8655704
567,308448,8063560,8661516
568,308448,8069708,8668392
569,308448,8075668,8674448
570,308448,8081436,8680008
571,308448,8087620,8686332
572,308448,8093472,8692460
573,296156,8100204,8686852
574,297212,8201936,8788392
575,297212,8313224,8899012
576,297212,8409728,8996008
577,298004,8177916,8765532
578,298004,8291432,8878940
579,298004,8396664,8984212
580,299472,8076272,8665636
581,309768,8112528,8712636
582,311088,8057560,8659056
583,311352,8065432,8667512
584,311352,8073968,8675812
585,311352,8082412,8684144
586,311352,8090764,8691932
587,311352,8098976,8699776
588,311352,8107412,8707848
589,298036,8077908,8665748
590,298036,8084800,8673464
591,298036,8091612,8680828
592,298036,8098836,8687316
593,298036,8105872,8694096
594,298036,8112980,8700948
595,298036,8119860,8707956
596,298036,8126624,8714500
597,303960,8133780,8728148
599,310292,8103252,8703972
600,310292,8109120,8708704
601,310556,8115124,8715572
602,310556,8121004,8721132
603,310556,8127240,8726904
604,310556,8133036,8733008
605,310556,8139600,8740544
606,310556,8145800,8746324
607,310556,8151596,8752656
608,310556,8157776,8759176
609,310556,8163736,8764704
610,298264,8199124,8787440
611,298264,8298804,8887356
612,298264,8412044,9000456
613,298264,8512272,9099964
614,300112,8245936,8835696
615,300112,8360652,8950420
616,302224,8217052,8809348
617,304748,8169040,8763264
618,315308,8316852,8922316
619,316364,8354976,8961376
620,316628,8476656,9083296
621,316628,8127708,8735048
622,316628,8136256,8743592
623,316628,8144840,8752216
624,316628,8153512,8760864
625,316628,8161736,8768604
626,303312,8133260,8726836
627,303312,8140516,8734868
628,303312,8147560,8741908
629,303312,8154928,8748720
630,303312,8161876,8755468
631,303312,8169196,8762824
632,303312,8176340,8770116
633,305540,8183392,8778716
634,312932,8190808,8793268
