,mem,page,total
1,686116,578520,1527652
2,1531972,1138032,2929136
3,2024320,1661628,4019012
4,2042196,2536628,4836668
5,2031116,2803572,5143864
6,2040628,3526612,5824448
7,2036156,3737044,6026748
9,2037480,4369772,6667740
10,2048792,4716380,7019332
11,2056196,5076660,7393652
12,2055580,5456420,7775040
13,2055700,5841624,8149908
14,2055544,6234444,8542796
15,2056340,6642856,8952104
16,2055020,7007200,9321392
17,2051320,7298224,9607828
18,2065296,7228408,9546828
19,2071708,7772108,10096768
20,2065300,8017256,10335484
21,2067212,8504364,10827984
22,2066964,8902504,11226536
23,2077268,9283012,11624072
24,2077076,8547120,10876840
25,2071060,8143616,10455604
26,2064224,8058284,10385852
27,2070296,8536864,10859320
29,2064108,8860764,11182708
30,2070972,9294408,11618596
31,2064976,8720828,11000708
32,2060672,8634712,10959320
33,2065552,9099364,11418600
34,2060664,9355676,11676284
35,2062248,9843484,12168676
36,2064888,10219840,12536800
37,2063304,10546668,12862896
38,2071752,11104260,13433668
39,2077736,11179964,13507600
40,2078604,11412236,13739812
41,2077972,11744116,14068000
42,2082156,12226556,14553828
43,2077672,12523832,14856420
44,2069480,11424848,13748924
46,2070928,11715896,14033012
47,2069464,11218440,13542216
48,2068932,11564052,13878904
49,2070476,12009564,14329116
50,2066208,11856308,14174132
51,2066212,12270032,14595736
52,2066864,12655308,14979584
53,2073732,13223296,15554940
54,2066832,13438864,15761364
55,2076340,13828972,16155952
56,2074332,13837504,16164520
57,2076184,13837180,16168668
59,2079648,13663812,16004072
60,2077140,13356416,15686064
61,2080968,13735120,16069140
62,2082140,13831312,16158832
63,2073324,12608688,14943636
64,2069836,12656020,14953480
65,2069236,12673004,14993840
66,2069100,13103300,15426260
67,2071288,13283680,15607688
68,2074320,13440752,15767608
69,2070808,13204820,15542480
70,2068668,13557892,15883432
71,2074596,13833048,16154748
72,2066280,13844392,16163092
73,2073336,13844716,16159048
75,2076368,13831736,16153640
76,2068788,13136320,15459896
77,2072072,13585068,15907328
78,2068472,13839904,16161456
79,2069100,13826980,16158324
80,2076340,13840304,16166572
81,2074852,13719572,16010932
82,2075316,13835660,16163616
83,2073596,13849924,16159908
84,2073632,13727736,16051652
85,2070728,13850308,16163000
86,2072824,13517300,15734720
87,2073448,13545556,15867632
88,2071160,13591628,15915128
89,2073380,13833416,16159124
90,2068844,13379128,15708872
92,2068708,13805992,16129148
93,2068300,13852964,16156420
