,mem,page,total
1,697176,599308,1646592
2,1537488,1169600,3064972
4,2023892,1675788,4063644
5,2037148,2288124,4672724
6,2030316,2594860,4976904
7,2037712,3219588,5604996
8,2030856,3540452,5922576
9,2039040,4064388,6452464
10,2038256,4346476,6732348
11,2048408,4876984,7279892
12,2044680,5201144,7607004
13,2048912,5702400,8099920
14,2048912,6063692,8461024
15,2048908,6452272,8856436
16,2051936,6871068,9274528
17,2053788,7331572,9736492
18,2058676,7627240,10040356
19,2066516,7473972,9887828
21,2062040,7716068,10138560
22,2066792,8188440,10603644
23,2067128,8546068,10977112
24,2068184,8886848,11308496
25,2071532,8647812,10988284
26,2063492,8263832,10679392
27,2065604,8643328,11055556
28,2064436,8978664,11394244
29,2070200,9558088,11975188
30,2069408,9892000,12309452
31,2074856,9814120,12245952
32,2079360,10160844,12587552
33,2078472,10592912,13019264
34,2083488,10947308,13378080
35,2072396,9769212,12189508
36,2069332,10044804,12461220
38,2064672,9679228,12094756
39,2067940,9844140,12256832
40,2066608,10216160,12626776
41,2069488,10539944,12964244
42,2066240,10472512,12886516
43,2070200,10921632,13340172
44,2071372,11373140,13789896
45,2069124,11661744,14073024
46,2073348,12151224,14575892
47,2074476,12031152,14463464
48,2076372,12440112,14869092
49,2077196,12785748,15211516
51,2079572,13220068,15644896
52,2077020,12668304,15093368
53,2075536,13123016,15546660
54,2078964,13592096,16014364
55,2072416,13216836,15639432
56,2071096,13600952,16024792
57,2075060,13753288,16156700
58,2074128,13750500,16157088
59,2077564,13744580,16157136
60,2078928,13624028,16049576
61,2082576,13525988,15955052
62,2085344,13733972,16163644
64,2086928,13697828,16130516
65,2090484,13733712,16169952
66,2091512,13727988,16164608
67,2073448,11742352,14164812
68,2076616,12279100,14706468
69,2075860,12574292,14998212
70,2080608,12798496,15227100
71,2077664,12749992,15179864
72,2073144,13085480,15507208
73,2075760,12644276,15070280
74,2076152,13082996,15510112
75,2074276,13401168,15825708
76,2075860,13750052,16152180
77,2073864,13672984,16043104
78,2071704,13480612,15898924
79,2076044,13734772,16155216
80,2073776,13530120,15959800
81,2072952,13742696,16168896
82,2080468,13726736,16152120
84,2073692,13313112,15740648
85,2075244,13310912,15731504
86,2069792,13622948,16041216
87,2072108,13673452,16087376
88,2072076,13747016,16169572
89,2071284,13750424,16168924
90,2074056,13741768,16165588
91,2074456,13207124,15631476
92,2074396,13528244,15863580
93,2072932,13745844,16167772
94,2076628,13740244,16164460
95,2075116,13743740,16153948
97,2075896,13747316,16160184
98,2081408,13537180,15967152
99,2071188,12925472,15351996
100,2076316,13296040,15726576
101,2074196,13581380,16014840
102,2077516,13750348,16168952
103,2076228,13746532,16169508
104,2078732,13732788,16158312
105,2078976,13731956,16162604
106,2084256,13742612,16172464
107,2085828,13238428,15615456
108,2075164,12794848,15219756
110,2081712,13015008,15442988
111,2076984,13347656,15773192
112,2075952,13165792,15485440
113,2076008,13035680,15460348
114,2074552,13451264,15874164
115,2078376,13743124,16156044
116,2076920,13729392,16153688
117,2073716,13319200,15745888
118,2074636,13740560,16166768
119,2075524,13675500,16103028
120,2074724,13537592,15964956
121,2071100,13592592,16020480
122,2078480,13742920,16149284
123,2076896,13749980,16154544
124,2075172,13458796,15766644
125,2076444,13746024,16157408
126,2081588,13736292,16163080
127,2077592,13746168,16151188
128,2079732,13487084,15839900
130,2081640,13298040,15723904
131,2072760,13506648,15928760
132,2078044,13735872,16158672
133,2079624,13726952,16150900
134,2078844,13284980,15709456
135,2082804,13727132,16163976
136,2085444,13741260,16158016
137,2082808,13736280,16158524
138,2076548,12902208,15267880
139,2072668,12700576,15134332
140,2076604,13114708,15537108
141,2073036,13329384,15753792
142,2077420,13529756,15953896
144,2075864,13721912,16146012
145,2076480,13730896,16153704
146,2074360,13249988,15669928
147,2073960,13690596,16112168
148,2074720,13741608,16162384
149,2071016,13565588,15986744
150,2073392,13732672,16163032
151,2071008,13745416,16151636
152,2075856,13731560,16162652
153,2075224,13580244,15985344
154,2074044,13743320,16163400
155,2075796,13743372,16165796
156,2076000,13734352,16151872
157,2080352,13730624,16157176
158,2079160,13726404,16154276
160,2085232,13720980,16151728
161,2083616,13730968,16116692
162,2075244,13006404,15437168
163,2079108,13194584,15631352
164,2075944,13193540,15628308
165,2075544,13618316,16047112
166,2081744,13731152,16162648
167,2075936,13739872,16151440
168,2082804,13730744,16164040
169,2089092,13716896,16151752
170,2086948,13729964,16172336
171,2093868,13730232,16168560
172,2093076,13714080,16154992
174,2095416,13728044,16157252
175,2102280,13694884,16144928
176,2101156,13719360,16170472
177,2087856,12212136,14526792
178,2087372,12029076,14462760
179,2085620,11721252,14152704
180,2084556,12107328,14551968
181,2084296,12476420,14909672
182,2087196,12862104,15313444
183,2086672,13225704,15666368
184,2082676,13511536,15951048
185,2089280,13716888,16157748
186,2087816,13614540,16055028
188,2093668,13723928,16170896
189,2098696,13706088,16152996
190,2082880,12286700,14727384
191,2088756,12702968,15139168
192,2089508,13182668,15623192
193,2086888,13429832,15863204
194,2096756,13712192,16153288
195,2086312,13293836,15734312
196,2085136,12948412,15382288
197,2083844,13214380,15649884
198,2084232,13303956,15734116
199,2083304,13657548,16094268
200,2085952,13731860,16161848
201,2082656,13731400,16167588
202,2085060,13586640,16025964
203,2083480,13739284,16167060
204,2081044,13204560,15641060
205,2087096,13728388,16151896
206,2083744,13707424,16135220
207,2084784,13651140,16081228
208,2089008,13696028,16130452
210,2086304,13531588,15962996
211,2089192,13721472,16163780
212,2085224,13740852,16159768
213,2092400,13715360,16155388
214,2093676,13723760,16159816
215,2088640,13725584,16161848
216,2097708,13704816,16153560
217,2095068,13719468,16168356
218,2090856,12845088,15287480
219,2087688,13213960,15653544
220,2092148,13296572,15743824
221,2087520,13126284,15569944
222,2089496,13616028,16063584
223,2089792,13473164,15854588
225,2095636,13706900,16154304
226,2091276,13726292,16153048
227,2090236,12879496,15318696
228,2087568,13281412,15729920
229,2092116,13534240,15982944
230,2089604,13724128,16157112
231,2093692,13726504,16169884
232,2087824,13700424,16141340
233,2096944,13299824,15747212
234,2093768,13637836,16087588
235,2092776,13305748,15678112
236,2094628,13715756,16165396
237,2092628,13718716,16170384
239,2095528,13714876,16162184
240,2097488,13584828,16041776
241,2094404,13090148,15542452
242,2094132,13476184,15925900
243,2094656,13476576,15928188
244,2092848,13724896,16153176
245,2097072,13720468,16167700
246,2089680,12967720,15412908
247,2079208,11477044,13910820
248,2081976,11683260,14120288
249,2080920,11880996,14315696
250,2084744,11808732,14247072
251,2082104,12003464,14439132
252,2084216,12227812,14666620
253,2084956,12418088,14858056
254,2086276,12632724,15074200
255,2081404,12263724,14697616
256,2083112,12480108,14918596
257,2084432,12710892,15149800
258,2083340,12608856,15047132
259,2084524,12824232,15261988
260,2086636,13035204,15476604
261,2084472,12947720,15388232
262,2086712,13163520,15604760
263,2083544,13344840,15783604
264,2085592,13286012,15726144
265,2083608,13461736,15900268
266,2083872,13688064,16128212
267,2086524,13602544,16044008
268,2083356,13728764,16166064
269,2084412,13719596,16157556
271,2082964,13593540,16031240
272,2084020,13715772,16156708
273,2081556,13714940,16153572
274,2083664,13725552,16163528
275,2085820,13449344,15887868
276,2063736,13551736,15968844
277,2066244,13563628,15982876
278,2063204,13741588,16157056
279,2063996,13739236,16156484
280,2062672,13601140,16018164
281,2062936,13738844,16154160
282,2063384,13655136,16017884
283,2062740,13677888,16093552
284,2064324,13744056,16161224
285,2062704,13503220,15919856
286,2065468,13716044,16134880
287,2069288,13627760,16050356
288,2076016,13722556,16155124
289,2078392,13719352,16154128
290,2089740,13725292,16168596
291,2085432,13526044,15967528
292,2085696,13726916,16166020
293,2088368,13711508,16154612
294,2088632,13723392,16168216
295,2087316,13701180,16144496
296,2086264,13336520,15777808
297,2088112,13559288,16002572
298,2087252,13505504,15948464
299,2087516,13721352,16164364
300,2088548,13592108,15994728
301,2087240,13641484,16085776
302,2088824,13715952,16162000
303,2086136,13455136,15897692
304,2066396,13629212,16052760
305,2064020,13749768,16151552
306,2065340,13749996,16168996
308,2064648,13372488,15794040
309,2066096,13584788,16006820
310,2067152,13730024,16152252
311,2066764,13524936,15947652
312,2067948,13736948,16159424
313,2065308,13737000,16158464
314,2067764,13568028,15991324
315,2067892,13730492,16155000
316,2073700,13733644,16161344
317,2078920,13600404,16034092
318,2084728,13717532,16155568
319,2091324,13503972,15906340
320,2091592,13595088,16039896
321,2093704,13704136,16147908
322,2092216,13468988,15915992
323,2090196,13433600,15878860
324,2091644,13557504,16001676
325,2091768,13528656,15975344
326,2093352,13654980,16102884
327,2094672,13512436,15961716
328,2096732,13634568,16084604
329,2076812,13704856,16134752
330,2073620,13725680,16155576
331,2076524,13739408,16170856
332,2071652,13413616,15840164
333,2072708,13635836,16063656
334,2078184,13442224,15875964
335,2088080,13666460,16109048
336,2097580,13711232,16163820
337,2094088,13456124,15903388
338,2096004,13677504,16127444
339,2094688,13721456,16170240
340,2096476,13459376,15910804
341,2094756,13647044,16097760
342,2095548,13719788,16169500
343,2098212,13571980,16024532
344,2095700,13711724,16158900
345,2074808,13708124,16138064
346,2073588,13593384,16022040
347,2074116,13725084,16154864
349,2075964,13720352,16151700
350,2073604,13636912,16065896
351,2075980,13725216,16154712
352,2073604,13727072,16155612
353,2074620,13332532,15761468
354,2082664,13531452,15968280
355,2091112,13712048,16156380
356,2096000,13530308,15979956
357,2094544,13679316,16127036
358,2095072,13709248,16158088
359,2093756,13584720,16033760
360,2094548,13715316,16163404
361,2093232,13701880,16150140
362,2094340,13618068,16067344
363,2097244,13716300,16166892
364,2093956,13454484,15902808
365,2095932,13675028,16127016
366,2094084,13715376,16163828
367,2095724,13502740,15954256
368,2076544,13664308,16095144
369,2073376,13743604,16149892
370,2074836,13498636,15927368
371,2074700,13465160,15891732
372,2077460,13577568,16007784
373,2077196,13498864,15929044
374,2079188,13604892,16036580
375,2091596,13718736,16160600
376,2101364,13524308,15977364
377,2101364,13634480,16087312
378,2099824,13413688,15867084
379,2099824,13423380,15876628
380,2099824,13432936,15886168
381,2099824,13442540,15896020
382,2099824,13451720,15905152
383,2077420,13423464,15854864
384,2077420,13431480,15862496
385,2077420,13439256,15869632
386,2077420,13447304,15877816
387,2077420,13454956,15885596
388,2079532,13462828,15895348
389,2087716,13470636,15910864
390,2095900,13478524,15927492
392,2099068,13448764,15901312
393,2099068,13455360,15907500
394,2099068,13462312,15914152
395,2099332,13468844,15921220
396,2099332,13475560,15927536
397,2099332,13482464,15933600
398,2099332,13488940,15941436
399,2099332,13495832,15948920
400,2099332,13502536,15955544
401,2079404,13517312,15949156
402,2077324,13521808,15950644
403,2076424,13623628,16052140
404,2078388,13604208,16034752
405,2077860,13711032,16141764
406,2082348,13730220,16144828
407,2091528,13483064,15928004
408,2102616,13558284,16009676
409,2104992,13398700,15852784
410,2103644,13495604,15949028
411,2103504,13315208,15769492
412,2103504,13325280,15779316
413,2103504,13334804,15789876
414,2103504,13344904,15799860
415,2080972,13316576,15749684
