,mem,page,total
2,701640,576496,1598092
3,1529016,1129624,2985596
4,2026096,1539708,3893636
5,2035920,2162348,4527136
6,2035412,2475708,4834340
7,2038604,3092312,5462996
8,2036760,3356648,5715596
9,2036768,3824264,6193156
10,2044956,4170764,6537812
11,2048392,4508632,6883372
12,2048264,4884236,7267892
13,2051808,5333412,7706800
14,2050584,5655944,8028192
15,2049264,5974700,8354536
16,2054280,6514048,8897828
18,2056132,6774308,9153388
19,2062580,7233068,9618420
20,2064832,7562152,9955024
21,2058104,7087484,9439540
22,2064720,7615932,10010116
23,2064532,7859792,10255728
24,2069676,8373164,10772748
25,2066180,8600248,11002468
26,2070680,8972076,11377772
27,2071740,9257540,11650664
28,2072264,9582024,11977544
29,2069400,8762436,11165444
30,2074680,9233964,11642260
32,2080772,9281552,11685100
33,2077600,9746972,12145996
34,2080396,10134996,12539256
35,2080396,10396948,12799628
36,2071540,9540668,11934764
37,2073564,9259256,11654484
38,2069844,9426472,11826380
39,2067584,9346288,11735684
40,2069964,9518556,11917660
41,2072996,9868024,12262980
42,2072996,10126536,12521224
43,2075500,10571924,12969416
44,2074432,10798388,13196328
46,2072972,10790928,13186052
47,2072708,11084416,13480200
48,2070196,11344952,13742532
49,2079700,11749328,14082164
50,2083036,11831852,14234268
51,2082212,12200644,14599152
52,2083316,12488036,14895276
53,2081172,12845368,15255440
54,2085132,13104588,15506584
55,2082492,13326616,15726920
56,2072596,12351152,14745352
57,2073832,12339924,14749144
59,2073568,12611788,15008980
60,2078976,13107000,15510548
61,2073560,13272736,15684752
62,2073296,13600836,16002932
63,2080952,13737664,16148328
64,2079368,13766976,16167848
65,2084912,13762976,16161200
66,2077408,13754552,16163196
67,2079256,13773144,16159088
68,2087364,13602960,16011196
69,2081616,12916040,15214568
70,2083060,12846788,15254156
71,2084476,13214396,15622256
73,2082100,13310224,15712692
74,2078088,12865020,15265140
75,2076768,13114112,15518424
76,2079500,13248052,15647796
77,2078312,13432036,15834556
78,2074376,12878388,15189224
79,2077956,13131524,15532284
80,2075856,13178608,15578248
81,2074928,13506948,15908844
82,2074664,13757936,16159392
83,2072564,13545780,15945748
84,2075912,13631184,16031632
86,2078408,13700716,16100276
87,2073932,13668348,16072428
88,2080660,13747944,16149016
89,2075508,13768672,16164560
90,2074652,13740008,16134756
91,2072800,13297644,15704992
92,2074772,13607640,16007752
93,2078992,13761292,16169048
94,2078588,13763332,16167332
95,2073824,13440608,15843752
96,2077356,13585076,15982528
98,2074316,13774916,16155712
99,2074152,13544564,15941896
100,2075332,13770368,16169336
101,2082196,13760544,16160968
102,2078460,13357652,15756584
103,2077900,13666376,16070640
104,2076808,13763344,16159576
105,2076148,13771936,16173544
106,2076480,13467656,15863152
107,2080432,13760456,16159932
108,2078048,13760652,16158016
109,2078292,13762804,16151548
110,2075332,13329188,15731064
111,2073484,13592672,15994800
112,2076640,13769040,16162920
113,2077296,13761292,16157508
114,2083088,13579488,15984344
116,2076620,13765660,16167292
117,2077500,13430544,15829536
118,2078420,13761952,16164656
119,2078124,13760352,16158740
120,2076668,13762700,16162560
121,2079044,13765072,16166032
122,2079080,13751292,16160104
123,2083304,13751656,16155964
124,2084488,13754184,16155872
125,2083056,13555364,15961088
126,2075916,13241052,15639164
127,2076644,13151316,15556312
128,2077036,13493308,15897560
130,2078348,13769372,16166836
131,2075160,13667516,16065612
132,2077800,13767496,16164668
133,2078880,13766772,16164068
134,2081648,13762700,16166288
135,2083348,13759308,16164972
136,2084588,13749072,16155812
137,2080368,13760464,16168180
138,2086172,13766740,16169800
139,2091980,13721124,16133180
140,2090136,13753024,16168188
141,2080440,12698228,15113692
142,2077116,12355432,14691060
144,2082648,12617372,15022672
145,2078680,12907520,15315936
146,2076432,13141052,15539312
147,2085260,13458068,15866328
148,2083676,13627484,16030916
149,2083412,13751208,16153864
150,2083012,13748832,16153372
151,2078404,13146304,15552596
152,2079660,13175056,15589340
153,2077396,13006440,15340736
154,2076876,13320784,15722860
155,2078436,13695700,16110916
156,2082132,13755408,16159244
157,2078380,13571580,15974432
159,2074948,13772696,16150164
160,2079572,13602384,16010272
161,2076268,13769356,16155340
162,2078076,13671196,15970216
163,2081528,13752652,16157588
164,2077960,13770064,16169412
165,2080992,13757752,16159680
166,2083232,13745364,16148896
167,2084552,13755664,16152044
168,2083232,13755400,16160840
169,2079644,13087436,15497832
170,2081756,13351980,15756036
172,2082196,13642760,16050892
173,2083640,13763780,16163924
174,2082428,13376120,15667460
175,2080032,13215172,15618208
176,2078712,13537332,15945548
177,2080160,13764724,16158904
178,2082536,13760684,16166580
179,2082536,13759612,16165024
180,2092568,13740772,16154976
181,2091744,13749448,16164464
182,2084460,13759908,16168172
183,2078736,12642172,15046668
185,2087184,12971644,15382144
186,2080712,13342460,15745300
187,2076428,13227208,15638948
188,2078540,13563884,15976324
189,2081260,13375020,15781192
190,2083896,13594624,15999848
191,2083476,13756332,16158840
192,2082456,13529444,15934248
193,2077040,13767228,16163788
194,2079368,13668240,16072532
195,2082796,13747516,16150332
196,2080548,13763964,16167072
197,2083052,13759784,16161556
199,2081668,13750808,16150924
200,2079032,13764788,16172796
201,2078284,13376488,15781252
202,2083288,13521888,15922544
203,2078236,13687740,16093976
204,2079888,13638340,16037304
205,2076788,13675412,16081380
206,2083124,13769312,16169348
207,2082460,13765620,16167628
208,2079948,13760620,16159636
209,2080412,13551352,15952596
210,2079884,13762256,16166640
211,2079620,13766064,16167916
212,2084900,13749328,16155140
213,2085028,13748256,16158804
214,2088988,13756256,16166108
215,2085752,13746360,16154544
217,2089448,13747060,16165040
218,2094992,13738588,16154540
219,2085684,12618972,15030584
220,2081012,12770904,15181568
221,2083124,13157904,15564584
222,2086360,13207084,15620512
223,2081080,13371556,15785996
224,2086360,13742020,16149460
225,2084904,13745176,16149584
226,2080156,13754572,16161368
227,2085168,13761368,16160808
228,2089128,13736752,16157336
230,2089392,13755472,16167256
231,2094112,13736928,16152436
232,2092408,13740440,16170576
233,2094060,13756340,16167812
234,2102772,13746296,16170400
235,2106664,13725980,16154340
236,2098644,13740948,16162264
237,2100224,13741372,16167140
238,2087196,12184564,14567804
240,2082456,11804460,14224200
241,2093720,12092908,14511340
242,2090808,12204836,14627732
243,2086712,12525636,14938968
244,2091804,12520164,14938660
245,2092332,12610404,15027956
246,2089164,12950796,15365912
247,2087972,13170068,15587796
248,2087972,13515240,15926392
249,2094836,13730604,16146840
250,2090064,13754052,16168528
251,2083684,12662856,15073844
252,2088696,13032888,15444476
253,2088728,13288944,15700264
255,2087536,13592176,16009476
256,2090440,13757316,16169648
257,2089384,13756964,16169136
258,2089648,13751464,16166568
259,2092024,13756000,16167148
260,2091764,13753044,16162844
261,2095360,13714268,16141500
262,2092748,13745768,16166892
263,2098028,13727452,16149544
264,2091712,12414164,14831476
265,2092428,12696012,15124844
267,2090140,12926944,15346944
268,2092236,13363152,15787676
269,2094352,13563432,15982000
270,2088432,13426988,15850320
271,2090612,13515012,15942384
272,2091668,13652688,16071220
273,2092728,13751488,16170704
274,2089844,13706496,15983092
275,2086388,12907136,15321380
276,2086004,13162036,15588500
277,2085356,13327984,15742432
278,2081056,13334140,15748424
279,2088004,13719608,16134224
281,2085808,13746328,16153924
282,2084780,13759096,16168608
283,2086716,13759980,16158020
284,2084484,13743052,16153688
285,2082476,13764540,16170612
286,2083924,13240836,15656236
287,2084684,13105884,15519500
288,2090088,13488152,15905060
289,2090216,13753408,16168392
290,2085984,13741504,16155520
291,2088360,13740232,16158104
292,2088888,13749648,16164220
293,2086512,13744968,16165248
294,2091264,13747384,16163776
296,2091792,13750084,16169116
297,2093112,13744588,16149988
298,2092816,13745440,16169100
299,2099416,13733080,16158256
300,2096248,13748220,16163452
301,2092464,12984880,15407084
302,2098268,13318468,15746284
303,2093180,13020072,15443896
304,2091988,13292192,15712148
305,2098384,13170992,15596036
306,2098384,13237168,15662448
307,2091916,13592680,16013200
308,2099248,13730036,16152800
309,2098712,13735064,16157940
311,2098184,13733000,16163144
312,2101216,13728456,16155936
313,2097088,13203960,15629176
314,2089908,12774756,15193808
315,2091492,13021664,15441996
316,2092412,13286136,15706896
317,2092148,13520176,15941004
318,2090428,13730184,16153864
319,2094056,13668448,16088208
320,2096496,13545796,15972924
321,2095416,13735248,16162064
322,2093920,13751596,16168676
324,2098940,13724924,16150344
325,2098936,13735856,16160440
326,2091860,13548336,15973704
327,2097096,13642568,16068128
328,2097912,13732860,16158512
329,2096328,13734172,16156088
330,2099636,13504256,15942320
331,2099736,13170224,15595720
332,2092472,13333444,15754276
333,2097352,13661140,16087232
334,2098640,13732128,16157268
336,2093888,13750952,16151856
337,2095500,13289376,15713716
338,2090748,13494736,15912032
339,2093476,13605748,15982536
340,2094020,13716084,16137384
341,2095868,13745380,16168816
342,2086356,12248308,14663380
343,2087804,12386252,14802540
344,2081436,11932704,14344744
345,2082976,12105644,14518220
346,2087080,12292492,14709048
347,2087608,12466060,14882308
348,2089484,12365212,14784156
349,2085128,12527112,14941444
350,2086444,12700592,15116272
351,2088184,12637188,15054660
352,2088312,12815168,15232484
353,2088576,12992316,15409984
354,2087232,12862272,15279580
355,2087360,13022132,15439040
356,2088152,13226300,15643888
357,2088152,13379408,15796828
358,2090472,13267960,15687628
359,2090600,13425516,15845224
360,2087432,13599640,16015008
361,2088688,13530804,15947152
362,2089080,13696304,16113228
364,2089344,13739900,16156948
365,2087248,13477360,15893440
366,2087376,13666468,16082364
367,2088432,13743104,16157972
368,2089224,13747024,16162212
369,2090020,13609732,16027076
370,2086980,13749844,16164884
371,2086980,13752848,16166828
372,2088412,13551956,15968708
373,2088540,13711160,16127672
374,2089332,13743092,16160020
375,2089732,13752984,16170152
376,2090464,13611016,16027352
377,2087688,13731776,16149624
378,2074572,13718240,16121600
379,2071668,13760264,16160600
380,2074572,13749120,16153048
381,2076948,13766344,16153152
382,2076792,13753948,16152756
383,2078904,13754832,16162084
384,2071924,13098028,15499868
385,2072052,13227024,15628672
386,2072316,13433312,15835952
387,2074964,13417672,15822280
388,2071924,13575692,15976592
389,2072188,13769936,16170884
390,2073520,13605784,16008432
391,2077596,13749092,16152428
392,2078260,13752524,16159032
393,2082624,13508612,15918824
394,2089428,13718944,16135508
395,2044552,13777632,16149960
396,2050360,13790404,16165416
397,2053044,13627748,16008400
399,2056604,13782740,16166848
400,2058980,13769564,16155252
401,2065012,13778904,16169512
402,2068972,13760744,16156868
403,2075572,13766356,16169556
404,2080428,13404564,15813648
405,2080032,13553344,15962124
406,2086364,13756404,16170248
407,2090860,13536040,15953956
408,2098380,13706736,16132408
409,2102340,13725208,16150528
410,2102640,13462576,15892420
411,2109100,13669740,16104972
412,2093140,13736348,16155088
413,2093404,13741360,16160764
414,2095400,13580980,16004156
415,2095308,13732588,16154944
416,2095308,13722676,16145872
417,2092612,13526360,15950052
418,2093004,13689112,16110112
419,2094588,13730572,16153496
420,2092212,13748404,16169292
421,2094588,13740600,16161320
422,2092844,13466268,15885296
423,2092708,13615260,16036072
424,2093500,13742268,16161428
