,mem,page,total
2467,2178816,13427464,15858728
2468,2178816,13434220,15866100
2469,2178816,13440988,15872676
2470,2160380,13410336,15824476
2471,2160380,13416560,15829980
2472,2160380,13422268,15836564
2473,2160380,13428356,15842628
2474,2160380,13434060,15848172
2475,2160380,13440108,15854252
2476,2160380,13445888,15860308
2477,2160380,13452060,15865888
2478,2160380,13458040,15871732
2479,2166188,13463752,15883056
2480,2171996,13469824,15894664
2481,2177540,13502100,15933152
2482,2178596,13443376,15875900
2483,2178596,13448836,15880476
2484,2178596,13453616,15885524
2485,2178860,13458960,15890832
2486,2178860,13464052,15896668
2487,2178860,13469356,15902268
2488,2178860,13484996,15916392
2489,2178860,13494240,15925924
2490,2178860,13503832,15938488
2491,2178860,13509004,15944732
2492,2178860,13514316,15949968
2494,2178860,13519316,15954796
2495,2161484,13507712,15925456
2496,2163000,13644120,16062292
2497,2162472,13564652,15983852
2498,2163792,13542960,15962992
2499,2164324,13644960,16064604
2500,2164584,13563816,15983332
2501,2165040,13666728,16085952
2502,2165040,13737768,16152868
2503,2169000,13516892,15940756
2504,2175864,13627632,16055860
2505,2182464,13728100,16163448
2506,2183256,13424804,15863732
2507,2184040,13530032,15968828
2508,2184304,13410972,15849372
2509,2185220,13504172,15944084
2510,2183652,13337288,15775460
2511,2183652,13344112,15783304
2512,2183652,13351256,15789400
2513,2183652,13358224,15796472
2514,2183652,13365044,15803796
2515,2165216,13335012,15755120
2516,2165216,13341064,15760980
2517,2165216,13347356,15767212
2518,2165216,13353184,15773124
2519,2165216,13359392,15779188
2520,2165216,13365524,15786740
2521,2165216,13371448,15792148
2522,2165216,13377368,15797480
2523,2167328,13383668,15805660
2524,2173400,13389492,15817424
2525,2179472,13395540,15831188
2526,2183432,13364244,15802896
2527,2183432,13369808,15807432
2528,2183432,13375088,15813764
2529,2183696,13380192,15817708
2530,2183696,13385640,15823072
2531,2183696,13390812,15829380
2532,2183696,13396168,15833332
2533,2183696,13401560,15838664
2534,2183696,13406900,15844200
2535,2183696,13411980,15849856
2536,2183696,13417544,15854760
2538,2183696,13422708,15860412
2539,2165260,13450580,15869680
2540,2164764,13427936,15847348
2541,2164764,13536460,15955696
2542,2164764,13447848,15866920
2543,2164764,13550044,15968544
